
全部,#genre#
CCTV-1HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225513/10000100000000060000000000007639_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1GeBfD65OKSNyDjJKsOte0NUz1KGUp3zp4HERJD1UA2w=:20221027140837,
CCTV-2HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225501/10000100000000060000000000002586_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1D8ndjs7nataB/+uCC8zEXVD1spHHL14ehiGy5Op6phw=:20221027140837,
CCTV-3HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225747/10000100000000060000000002957367_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1mJ65jwH3KDO09dSZi4NBCIGOSrXDtKzZd4WklXR4n9U=:20221027140837,
CCTV-4HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225732/10000100000000060000000001790339_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1eQJ4kf9FZ5ZD6Jh2XWcn5Nj4QV0kTukr7QVhRERY1Ac=:20221027140837,
CCTV-5HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225672/10000100000000060000000000330974_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1bvVTmK6B2PqITB+Vo/BRwtj4QV0kTukr7QVhRERY1Ac=:20221027140837,
CCTV-6HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225750/10000100000000060000000002957366_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1lNBC+EGmmBH4YNMuLrrwSrop07JDUBsiHchUvcAYjIo=:20221027140837,
CCTV-7HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225511/10000100000000060000000000003376_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1GeBfD65OKSNyDjJKsOte0FD1spHHL14ehiGy5Op6phw=:20221027140837,
CCTV-8HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225753/10000100000000060000000002957365_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1lNBC+EGmmBH4YNMuLrrwStUz1KGUp3zp4HERJD1UA2w=:20221027140837,
CCTV-9HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225691/10000100000000060000000000015619_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1XgIP5klYhaqOtVl0Zo99BlD1spHHL14ehiGy5Op6phw=:20221027140837,
CCTV-10HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225517/10000100000000060000000000007518_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1GeBfD65OKSNyDjJKsOte0IGOSrXDtKzZd4WklXR4n9U=:20221027140837,
